Plot,Subplot,Area,ACST,AGHE,AMIN,APAN,AVBA,AVFA,BOIN,BRCA,BRDI,BRHO,BRMA,CAME,CABU,CIOC,CIVU,CLPE,CLPU,CRSE,DICA,ERCI,GAAP,GNPA,HYGL,LUBI,MEIM,MEPO,PLNO,PHAU,PLMA,RACA,SACO,STME,STPU,THCU,TRAL,TRGR,VIPE
1,1,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1,2,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.25,0,0.5,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0.5,0,0,0,0,0,0.5,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,10,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
1,11,2.50,3,0,0,0,0,0,0,0,62.5,0,0,0,0,3,0,0,0,0.5,0,3,0,0,0,0.5,0,0,10,0,0,0,0,0,0,10,0,0,0
1,12,2.50,0,0.5,0,0,0,0,0,0,87.5,0,0,0,0,10,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2,1,0.25,0.5,0,0,0,0,37.5,0,0,37.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,2,0.25,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0.25,0,0.5,0,0,0,0.5,0,0,37.5,0,0,0,0,0,10,0,0,3,0,10,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2,4,0.25,0,0,0,0,0,0.5,0,0,87.5,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0
2,5,0.25,0,0,0,0,0,10,0,0,37.5,0,10,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2,6,0.25,0,0,0,0,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0.25,0,0,0,0,0,10,0,0,10,3,0,0,0,0,0,0,0,3,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0.25,0,0,0,0,0,0.5,0,0,62.5,0,0,0,0,0.5,3,0,0,0.5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.25,0,0,0,0,0,20,0,0,10,3,3,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2,10,0.25,0,0,0,0,0,0,0,0,37.5,0,0,0,0.5,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2,11,2.50,0,0.5,0,0,0,0,0,0,62.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2,12,2.50,0,0,0,0,0,3,0,0,87.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
3,1,0.25,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0.5,0.5,0,0,0,0,0,20,0,0,0,0
3,2,0.25,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
3,3,0.25,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,37.5,10,0,0,0
3,4,0.25,0,0,3,0,37.5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,10,0,3,0,0
3,5,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0.5,0,0,0,3,0,0,0,20,3,0,0,3
3,6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0,20
3,7,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
3,8,0.25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0.5,0,0,0,0,0,20,3,0,0,0
3,9,0.25,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0,0.5,0,0,0,10,0,3,0,0,0,0,0,0,0,0,3,0,0
3,10,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3,11,2.50,0,0,0,0,0,0,0.5,0,37.5,0,0,0,0.5,3,0,10,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0.5,37.5,0,0,0,0
3,12,2.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0
4,2,0.25,0,0,0,0.5,0,0,0,0,62.5,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
4,3,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4,4,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,37.5,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0
4,5,0.25,0,0,0,0,10,0,3,0,0.5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0.5,0
4,6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,3,0,0,0,0,0
4,7,0.25,0,0,0,0,10,0,0,0,20,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,0.25,0,0,0,0,3,0,0,0,62.5,0,0,0,0,20,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
4,9,0.25,0,0,0,0,37.5,0,0,20,62.5,0,0,0,0,3,0,0.5,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
4,10,0.25,0,0,0,0,62.5,0,0,0,20,0,0,0,0,37.5,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
4,11,2.50,0,0,0,0,0,0,0,0,87.5,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,3,0,0
4,12,2.50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,3,0,0,0,0,0,0,62.5,0,10,0,0.5,0,0,0,0,0